# From Watkins et al. 2016, table 1 [https://arxiv.org/pdf/1611.03170v1.pdf]
#           alpha delta: position             in degrees
#                     c: concentration index 
#                 Rcore: core radius          in arcmin
#   Rtidal,Rtidal*error: tidal radius         in arcmin (and uncertainty)
#           D,D*error: distance               in kpc (1/mas) (and uncertainty)
# mualpha,mualpha*error: pm along alpha       in mas/yr
# mudelta,mudelta*error: pm along delta       in mas/yr
#                   EBV: reddening            in mag
#                   feh: metallicity [Fe/H]   in dex
#          vr, vr_error: radial velocity      in km/s
#  sigmav, sigmav_error: velocity dispersion  in km/s
cluster,alpha,delta,c,Rcore,Rtidal,D,mualpha,mualpha_error,mudelta,mudelta_error,EBV,feh,vr,vr_error,sigmav,sigmav_error
NGC104,6.02,-72.08,2.07,0.360,42.296,4.5,5.63,0.21,-2.73,0.29,0.04,-0.72,-18.0,0.1,11.0,0.3
NGC288,13.19,-26.58,0.99,1.350,13.193,8.9,4.67,0.22,-5.60,0.35,0.03,-1.32,-45.4,0.2,2.9,0.3
NGC3201,154.40,-46.41,1.29,1.300,25.348,4.9,5.28,0.32,-0.98,0.33,0.24,-1.59,494.0,0.2,5.0,0.2
NGC4372,186.44,-72.66,1.30,1.750,34.917,5.8,-6.49,0.33,3.71,0.32,0.39,-2.17,72.3,1.2,nan,nan
NGC4590,189.87,-26.74,1.41,0.580,14.908,10.3,-3.76,0.66,1.79,0.62,0.05,-2.23,-94.7,0.2,2.5,0.4
NGC4833,194.89,-70.88,1.25,1.000,17.783,6.6,-8.11,0.35,-0.96,0.34,0.32,-1.85,200.2,1.2,nan,nan
NGC5139,201.70,-47.48,1.31,2.370,48.389,5.2,-5.08,0.35,-3.57,0.34,0.12,-1.53,232.1,0.1,16.8,0.3
NGC5272,205.55,28.38,1.89,0.370,28.721,10.2,-0.12,0.61,-2.67,0.40,0.01,-1.50,-147.6,0.2,5.5,0.3
NGC5904,229.64,2.08,1.73,0.440,23.629,7.5,4.27,0.60,-11.30,1.46,0.03,-1.29,53.2,0.4,5.5,0.4
NGC5927,232.00,-50.67,1.60,0.420,16.721,7.7,-5.72,0.39,-2.61,0.40,0.45,-0.49,-107.5,0.9,nan,nan
NGC6121,245.90,-26.53,1.65,1.160,51.815,2.2,-12.66,0.28,-19.39,0.29,0.35,-1.16,70.7,0.2,4.0,0.2
NGC6171,248.13,-13.05,1.53,0.560,18.975,6.4,-0.70,0.90,-3.10,1.00,0.33,-1.02,-34.1,0.3,4.1,0.3
NGC6205,250.42,36.46,1.53,0.620,21.008,7.1,-0.10,0.80,4.69,0.81,0.02,-1.53,-244.2,0.2,7.1,0.4
NGC6218,251.81,-1.95,1.34,0.790,17.283,4.8,1.15,1.95,-7.75,1.67,0.19,-1.37,-41.4,0.2,4.5,0.4
NGC6254,254.29,-4.10,1.38,0.770,18.471,4.4,-5.75,0.78,-4.75,1.45,0.28,-1.56,75.2,0.7,6.6,0.8
NGC6304,258.63,-29.46,1.80,0.210,13.250,5.9,-2.59,0.29,-1.56,0.29,0.54,-0.45,-107.3,3.6,nan,nan
NGC6341,259.28,43.14,1.68,0.260,12.444,8.3,-3.58,0.89,-0.60,0.60,0.02,-2.31,-120.0,0.1,6.0,0.4
NGC6352,261.37,-48.42,1.10,0.830,10.449,5.6,nan,nan,nan,nan,0.22,-0.64,-137.0,1.1,nan,nan
NGC6362,262.98,-67.05,1.09,1.130,13.902,7.6,-3.09,0.46,-3.83,0.46,0.09,-0.99,-13.1,0.6,2.8,0.4
NGC6397,265.18,-53.67,2.50,0.050,15.811,2.3,3.69,0.29,-14.88,0.26,0.18,-2.02,18.8,0.1,4.5,0.2
NGC6541,272.01,-43.71,1.86,0.180,13.040,7.5,nan,nan,nan,nan,0.14,-1.81,-158.7,2.3,8.2,2.1
NGC6624,275.92,-30.36,2.50,0.060,18.974,7.9,nan,nan,nan,nan,0.28,-0.44,53.9,0.6,5.4,0.5
NGC6656,279.10,-23.90,1.38,1.330,31.904,3.2,7.37,0.50,-3.95,0.42,0.34,-1.70,-146.3,0.2,7.8,0.3
NGC6681,280.80,-32.29,2.50,0.030,9.487,9.0,nan,nan,nan,nan,0.07,-1.62,220.3,0.9,5.2,0.5
NGC6723,284.89,-36.63,1.11,0.830,10.692,8.7,-0.17,0.45,-2.16,0.50,0.05,-1.10,-94.5,3.6,nan,nan
NGC6752,287.72,-59.98,2.50,0.170,53.759,4.0,-0.69,0.42,-2.85,0.45,0.04,-1.54,-26.7,0.2,4.9,0.4
NGC6779,289.15,30.18,1.38,0.440,10.555,9.4,0.30,1.00,1.40,1.00,0.26,-1.98,-135.6,0.9,4.0,0.6
NGC6809,295.00,-30.96,0.93,1.800,15.320,5.4,-3.31,0.94,-9.70,0.55,0.08,-1.94,174.7,0.3,4.0,0.3
NGC6838,298.44,18.78,1.15,0.630,8.899,4.0,-2.30,0.80,-5.10,0.80,0.25,-0.78,-22.8,0.2,2.3,0.2
NGC7099,325.09,-23.18,2.50,0.060,18.974,8.1,1.42,0.69,-7.71,0.65,0.03,-2.27,-184.2,0.2,5.5,0.4
